All,Wszystko
"Send At","Wyślij na"
"Invitation Message","Wiadomość z zaproszeniem"
"Signed Up At","Zarejestrowałem się w"
"Invitation URL","Adres URL zaproszenia"
Link,Odnośnik
"Invitee Information","Informacje zaproszenia"
"Customer ID","ID klienta"
"Sign Up At","Zarejestruj się w"
"Inviter Information","Informacje zaproszenia"
Admin,Administrator
"Invite your friends by entering their email addresses","Zaproś znajomych poprzez wprowadzanie ich adresów e-mail"
"Maximum %1 email addresses allowed.","Dopuszczalne maksymalnie %1 adresów e-mail."
Add,Dodaj
"Back to Invitations","Wróć do zaproszenia"
"Enter Email","Wprowadź adres E-mail"
"You cannot send more invitations","Nie można wysłać więcej zaproszeń"
"There are no sent invitations.","Brak wysłanych zaproszeń."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Proszę przyjąć to zaproszenie by dołączyć do %store_name."
"%store_name offers limited time sales of products only to members.","%store_name oferuje ograniczony czas sprzedaży produktów tylko dla członków."
"Please use the following link to create an account and view the deals:","Użyj następującego linku, aby utworzyć konto i zobacz oferty:"
"Invited Customers","Zaproszeni Klienci"
Conversion,Dyskusja
"Invitation Section","Sekcja Zaproszenia"
Conversions,Dyskusje
"Customer Invitation Email Sender","Nadawca E-mail Zaproszenia Klienta"
"Customer Invitation Email Template","Szablon E-mail Zaproszenia Klienta"
"Enable Invitations Functionality","Włącz funkcję zaproszeń"
"Enable Invitations on Storefront","Włącz zaproszenia w Witrynie sklepowej"
"Referred Customer Group","Określonie grupy klientów"
"New Accounts Registration","Rejestracja nowego konta"
"Allow Customers to Add Custom Message to Invitation Email","Klienci mogli dodać niestandardowe wiadomości e-mail"
"Customer Invitations","Zaproszenia klienta"
"Discard Selected","Odrzuć wybrane"
"Send Selected","Wyślij wybrane"
Registered,Zarejestrowany
"Valid Website","Ważne strony internetowej"
"Invitations Sent","Zaproszenie zostało wysłane"
"Invitations Accepted","Akceptacja zaproszeń"
"Accept Rate","Zaakceptuj stawki"
"Discard Rate","Odrzuć stawki"
"Accepted and Purchased","Zaakceptowane i zakupione"
"Conversion Rate","Współczynnik konwersji"
Invitation,Invitation
"Admin Actions Log Archive","Dziennik Archiwum Akcji Admina"
"Log Entry #%1","Wpis logów #%1"
"Log Entry Details","Szczegóły wpisu logów"
"Source Data","Źródło danych"
"Value Before Change","Wartość przed zmianą"
"Value After Change","Wartość po zmianie"
"No changes","Bez zmian"
"The item was deleted","Produkt został usunięty"
"All Users","Lista użytkowników"
"Admin Actions Log","Dziennik akcji Admina"
"Admin Actions Archive","Archiwum Akcji Admina"
Report,Raport
"actions' 'label","akcja ""etykieta"
"%1 & applied","%1 i zastosowane"
"Tax Rates Import","Import stawek podatku"
"Attributes Updated","Atrybuty zaktualizowane"
"Currency Rates Saved","Kursy walut zapisane"
"Cache types: %1","Rodzaj Pamięci podręcznej: %1"
"Tax Rates Export","Stawki podatkowe Export"
"Unknown callback function: %1::%2","Nieznana funkcja wywołania zwrotnego: %1::%2"
"You need more permissions to access this.","Potrzebujesz więcej uprawnień, aby uzyskać dostęp do tej sekcji."
Success,"Zakończono pomyślnie"
Failure,Awaria
Daily,Codziennie
Weekly,"Co tydzień"
Monthly,"Co miesiąc"
"This user is locked","Ten użytkownik jest zablokowany"
"Admin User Data","Dane użytkownika admin"
"Aggregated Information","Zagregowane informacje"
"Admin User ID","ID użytkownika"
"Admin User Name",Użytkownik
IP-Address,IP-Address
"X-Forwarded For","X-Forwarded For"
"Error Message","Komunikat błędu"
"Related Changes","Powiązane zmiany"
Logging,Rejestrowanie
Archive,Archiwizuj
"Action Logs","Action Logs"
"Admin Actions Log Archiving","Admin Archiwizacja Akcji Logów"
"Log Entry Lifetime, Days","Dziennik Bycia Zalogowanym, Dni"
"Log Archiving Frequency","Archiwum Częstotliwości Logowania"
"Admin Actions Logging","Admin Akcje Logowania"
"Enabled Actions","Włączenie Akcji"
1,1
"Mass Delete","Masowe usuwanie"
Export,Eksport
Import,Import
"Mass Update","Masowa aktualizacja"
Move,Przenieś
"Forgot Password","Zapomniane hasło"
"Global Search","Globalne wyszukiwanie"
Reorder,"Zamów ponownie"
Print,Drukuj
Run,Uruchom
Rollback,Przywracanie
"Reindex Process","Proces re-indeksowania"
Clean,Wyczyść
Flush,Kolor
Fetch,Pobierz
"Update Payment","Zaktualizuj płatności"
"Update State","Aktualizacja Stanu"
Login,"Zaloguj się"
Send,Wyślij
Create,Utwórz
"Catalog Products","Katalog produktów"
"Catalog Categories","Kategorie katalogu"
"URL Rewrites","Przekierowania URL"
"Catalog Search",Wyszukiwanie
"Catalog Ratings","Katalog Ocen"
"Catalog Reviews",Opinie
"Catalog Attributes","Katalog Atrybutów"
"Catalog Product Templates","Katalog Szablonów Produktu"
"Admin Sign In","Admin Zaloguj"
"System Configuration","Konfiguracja systemu"
"Cart Price Rules","Reguły cenowe koszyka"
"Admin My Account","Admin Moje Konto"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Templates","Szablony newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Sales Orders",Zamówienie
"Sales Order Status","Status zamówienia sprzedaży"
"Sales Invoices","Faktury sprzedaży"
"Sales Shipments","Sprzedaże przesyłki"
"Sales Credit Memos","Faktury korygujące sprzedaży"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"Admin Permission Roles","Admin Uprawnienia Ról"
"Admin Permission Users","Admin Uprawnienia Użytkowników"
"Manage Websites","Zarządzanie stroną internetową"
"Manage Stores","Zarządzaj sklepami"
"Manage Store Views","Zarządzanie widokami sklep"
"Manage Design","Zarządzanie wyglądem"
"Manage Currency Rates","Zarządzaj kursami walut"
"Transactional Emails","E-maile sprzedażowe"
"Custom Variables","Własne zmienne"
"System Backups","Kopia zapasowa systemu"
"Customer Tax Classes","Klasy podatku klienta"
"Catalog Product Tax Classes","Katalog Produktów Klasy Podatkowej"
"Tax Rules","Reguły podatków"
"Tax Rates","Stawki podatkowe"
"XML Sitemap","Mapa witryny (XML)"
Widget,Widget
"Cache Management","Pamięć podręczna"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Archive File","Plik archiwum"
Time,Czas
"Action Group","Działania grupy"
"IP Address","Adres IP"
Username,"Nazwa użytkownika"
Result,Wynik
"Full Action Name","Pełna nazwa akcji"
"Full Details","Pełne szczegóły"
"Some exception","Jakiś wyjątek"
"Save Warehouse","Zapisz magazyn"
"Disable Warehouse","Wyłącz magazyn"
"Enable Warehouse","Włącz magazyn"
Warehouse,Magazyn
"New Warehouse","Nowy magazyn"
"Manage Warehouse","Zarządzaj magazynem"
"Please correct the data sent.","Proszę poprawić przesyłane dane."
"Please select a user","Wybierz użytkownika"
"Requested warehouse doesn't exist","Żądany magazyn nie istnieje"
"Test error message","Testowy komunikat o błędzie"
"Multiple Location Inventory","Wiele lokalizacji magazynów"
"Change status of warehouse","Zmiana stanu magazynu"
"Edit warehouse","Edycja magazynu"
"Manage Warehouses","Zarządzaj magazynami"
"Warehouse Information","Szczegóły magazynu"
"Use default address","Użyj domyślnego adresu"
"Add New Warehouse","Dodaj nowy magazyn"
"Contact Name","Nazwisko klienta"
Street,Ulica
Wishlist,Schowek
"Customer's Wish List Report","Raport listy życzeń klienta"
"My Wish Lists","Moje listy życzeń"
"1 item in wish list","1. produkt na liście życzeń"
"%1 items in wish list","%1 produktów na liście życzeń"
"Wish List Search","Szukaj listy życzeń"
"Customer Wish List Report","Raport listy życzeń klienta"
"Wish list ""%1"" was saved.","Lista życzeń ""%1"" została zapisana."
"We can't create the wish list right now.","Nie możemy teraz stworzyć listy życzeń."
"""%1"" was copied to %2.","""%1"" został skopiowany do %2."
"We can't find the item.","Nie możemy znaleźć produktu."
"""%1"" is already present in %2.","""%1"" jest już obecny w %2."
"We can't copy ""%1"".","Nie można skopiować ""%1""."
"We can't copy the wish list item.","Nie można skopiować elementu listy życzeń."
"We can't find %1 items.","Nie można znaleźć produktów %1."
"We can't copy %1 items.","Nie można skopiować produktów %1."
"%1 items are already present in %2: %3.","%1 produkty są już obecne w %2: %3."
"%1 items were copied to %2: %3.","%1 produkty zostały skopiowane do %2: %3."
"You can't delete the default wish list.","Nie możesz usunąć domyślnej listy życzeń."
"Wish List ""%1"" has been deleted.","Usunięto schowek ""%1""."
"We can't delete the wish list right now.","Nie możesz teraz usunąć listy życzeń."
"""%1"" was moved to %2.","""%1"" zostało przeniesione do %2."
"We can't find an item with this ID.","Nie możemy znaleźć produktu z tym identyfikatorem."
"We cannot move ""%1"".","Nie można skopiować ""%1""."
"We can't move the wish list item.","Nie można przenieść produktu listy życzeń."
"%1 items cannot be moved: %2.","Produkty %1 nie mogą być przeniesione: %2."
"We can't move %1 items.","Nie można przenieść produktu %1."
"%1 items were moved to %2: %3.","%1 produkty zostały przeniesione do %2: %3."
"%1 for ""%2""","%1 na ""%2"""
"We can't add the item to shopping cart.","Nie można dodać produktu do koszyka."
"We can't add the following product(s) to shopping cart: %1.","Nie można dodać następujących produktów do koszyka: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(y) %1 posiada(ją) wymagane opcje. Każda z nich może być dodana wyłącznie oddzielnie."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(y) został dodany do koszyka: %2."
"Please reenter your search options.","Proszę wprowadzić opcje wyszukiwania."
"We could not perform the search.","Nie można wykonać wyszukiwania."
"Owner Name","Nazwa Właściciela"
"Owner Email","Adres e-mail właściciela"
"%1's Wish List","%1 listy życzeń"
"%1's Wish List (%2)","%1 listy życzeń (%2)"
"Sign in to edit wish lists.","Zaloguj się, aby edytować listę życzeń."
"The wish list is not assigned to your account and can't be edited.","Ten schowek nie jest przypisany do twojego konta i nie może być edytowany."
"Provide the wish list name.","Podaj nazwę listy życzeń."
"Wish list ""%1"" already exists.","Lista życzeń ""%1"" już istnieje."
"Only %1 wish list(s) can be created.","Maksymalna liczba list życzeń jaką można utworzyć to %1."
"Test Phrase","Fraza testowa"
"Unknown Magento error","Nieznany błąd Magento"
InvalidArgumentException,InvalidArgumentException
Refresh,Odśwież
"All Wish Lists","Wszystkie listy życzeń"
"Add To Order","Dodaj do zamówienia"
"Configure and Add to Order","Konfiguruj i dodaj do zamówienia"
"No items","Brak produktów"
"Delete Wish List","Usuń listę życzeń"
"Wish List Items","Produkty na liście życzeń"
"You must select items to add to the cart.","Należy dodać produkty do koszyka."
"Add to:","Dodaj do:"
"Create New Wish List","Utwórz nową listę życzeń"
"Copy to Wish List","Kopiuj do listy życzeń"
"Wish List Name","Nazwa listy życzeń"
"Create Wish List","Create Wish List"
"Edit Wish List","Edytuj listę życzeń"
"Public Wish List","Publiczna lista życzeń"
"Private Wish List","Prywatna listy życzeń"
"Select all","Zaznacz wszystko"
"Move Selected to Wish List","Przenieś zaznaczone do listy życzeń"
"Copy Selected to Wish List","Kopiuj zaznaczone do listy życzeń"
Close,Zamknij
"We can't create the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
"Please select items to move.","Wybierz elementy do przeniesienia."
"Please select items to copy.","Wybierz elementy do skopiowania."
"Are you sure you want to delete your wish list? This action can't be undone.","Czy na pewno chcesz usunąć z listę życzeń? Tej akcji nie można cofnąć."
"Wish Lists","Listy życzeń"
"Enable Multiple Wish Lists","Włącz wiele list życzeń"
"Number of Multiple Wish Lists","Liczba list życzeń"
"The number of multiple wish lists should be equal to or more than 2.","Liczba listy życzeń powinna być równa lub większa niż 2."
"My Wish Lists Link","Mój link listy życzeń"
"Display Wish Lists Summary","Wyświetl podsumowanie schowka"
"Wish List Search Description","Opis wyszukiwania schowka"
"Wish List Search Template","Domyślny szablon wyszukiwania"
Added,Dodane
"Wish List Quantity","Ilość Listy Życzeń"
"Store Quantity","Ilość Sklepów"
"Surplus / Deficit","Nadwyżki / deficytu"
"Product Info","Informacje o produkcie"
"Add to Wish List","Dodaj do listy życzeń"
"MySQL Message Queue Cleanup","Porządkowanie kolejki komunikatów MySQL"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Wszystkie wartości powinny być podane w minutach. Użyj ""0"", aby zrezygnować z automatycznego czyszczenia."
"Retry Messages In Progress After","Ponów wiadomości po postępie"
"Successful Messages Lifetime","Czas życia pomyślnych komunikatów"
"Failed Messages Lifetime","Czas życia komunikatów o niepowodzeniu"
"New Messages Lifetime","Czas życia nowych komunikatów"
"Persist Wish List","Trwały schowek"
"Persist Recently Ordered Items","Zachowuj ostatnio zamówione produkty"
"Persist Currently Compared Products","Zachowuj aktualnie porównywane produkty"
"Persist Comparison History","Zachowuj historię porównań"
"Persist Recently Viewed Products","Zachowuj ostatnio przeglądane produkty"
"Persist Customer Group Membership and Segmentation","Zachowuj przynależność klienta do grupy klientów oraz segmentację klientów"
"Read Product Price","Wyświetl cenę produktu"
"Edit Product Price","Zmień cenę produktu"
"Edit Product Status","Zmień stan produktu"
"Default Product Price","Domyślna cena produktu"
"Defines the default product price","Definiuje domyślną cenę produktu"
"Images And Videos","Zdjęcia i filmy"
"Edit Catalog Price Rules","Edytuj reguły cenowe katalogu"
"Edit Cart Price Rules","Edytuj reguły cenowe katalogu"
"Edit Automated Email Reminder Rules","Edytuj zasady automatycznego przypominania"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","Powiązane reguły automatycznego przypomnienia: %1. Usunięcie pozycji spowoduje usunięcie tych powiązań."
"Automated Email Marketing Reminder Rules","Edytuj zasady automatycznego przypominania reguł marketingowych email"
"Add New Rule","Dodaj nową regułę"
"Are you sure you want to match this rule now?","Czy na pewno chcesz dopasować tę regułę?"
"No more than %1 customers may receive the reminder email after this action.","Liczba klientów, która może otrzymać e-mail z przypomnieniem po tej akcji: %1."
"Run Now","Uruchom teraz"
"Edit Rule '%1'","Edytuj regułę '%1'"
"New Rule","Nowa reguła"
"Email Reminder Rule","Reguła przypomnienia e-mail"
"You need to set at least one condition for this rule to work.","Reguła do działania potrzebuje ustawionego przynajmniej jednego warunku."
"Matched At",Dopasowano
"Thread Active","Wątek Aktywny"
Coupon,Kupon
"Coupon Use Limit","Limit wykorzystania kuponu"
"Coupon Use Per Customer","Wykorzystania kupon na klienta"
"Emails Sent","E-mail Wysłany"
"Emails Failed","E-maile nie powiodły się"
"Last Sent","Ostatnio wysłane"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","E-mail z przypomnieniem może promować regułę cenową koszyka z kuponem lub bez. Jeśli taka reguła definiuje automatycznie generowany kupon, przypomnienie wygeneruje kod kuponu dla każdego klienta."
"Cart Price Rule","Reguły cenowe koszyka"
"Promotion rule this reminder will advertise.","Reguły promocyjne, które to przypomnienie będzie reklamowało."
"Repeat Schedule","Powtórz harmonogram"
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Wprowadź liczbę dni, po których przypomnienie e-mail zostanie ponownie wysłane, jeśli jej reguła jest nadal spełniana (Np.: Wprowadź ""7, 14"" by wysłać e-mail wpierw za 7 dni, a następnie 14 dni później)."
"Select Rule...","Wybierz regułę..."
"Email Templates","Szablony e-mail"
"Only customers who have an account for a store view will receive emails related to that store view.","Tylko klienci, którzy mają konto na widok sklepu otrzymają e-maile związane z tym widokiem sklepu."
"Default Titles and Description","Domyślne tytuły i opisy"
"You can find and edit rule label and descriptions, per store view, in email templates.","Można znaleźć i edytować reguły etykiet i opisów, w widoku sklepu, w szablonach wiadomości e-mail."
"Rule Title for All Store Views","Tytuł reguły dla wszystkich widoków sklepu"
"Rule Description for All Store Views","Opis reguły dla wszystkich widoków sklepu"
"Titles and Descriptions Per Store View","Tytuły i opisy dla widoku sklepu"
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Zastępuje domyślne tytuły i opisy. Należy zauważyć, że jeśli szablonu wiadomości e-mail nie jest określony dla tego widoku magazynu, odpowiednich wartości zmiennych zostaną usunięte."
"Emails and Labels","E-maile i etykiety"
"Matched Customers","Pasujący klienci"
"Please correct the reminder rule you requested.","Proszę poprawić żądaną regułę przypomnień."
"You deleted the reminder rule.","Reguła przypomnień została usunięta."
"We can't delete the reminder rule right now.","W tej chwili nie możemy usunąć reguły przypomnień."
"Reminder Rules","Reguły przypomnień"
"Email Reminders","Przypomnienia e-mail"
"New Reminder Rule","Nowa reguła przypomnień"
"Edit Rule","Edytuj regułę"
"You matched the reminder rule.","Dopasowana reguła przypomnień."
"Reminder rule matching error.","Pasujące zasady błędów przypomnień."
"You saved the reminder rule.","Zapisałeś reguły przypomnień."
"We could not save the reminder rule.","Nie można zapisać reguły przypomnień."
"Minute Intervals","Interwał minutowy"
Hourly,"Co godzinę"
"5 minutes","5 minut"
"10 minutes","10 minut"
"15 minutes","15 minut"
"20 minutes","20 minut"
"30 minutes","30 minut"
for,dla
"for greater than","dla większych niż"
"for or greater than","dla równego lub większego niż"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Koszyk jest pusty i został opuszczony %1 %2 dni i %3 tych warunków:"
"The root shopping cart condition should have a days value of 0 or greater.","Stan koszyka zakupów korzeń powinien mieć wartość dni 0 lub większa."
"Total Amount","Łączna wartość"
subtotal,"suma częściowa"
"grand total",ogółem
"Shopping cart %1 amount %2 %3:","Zakupy koszyka %1 na kwotę %2 %3:"
"Unknown quote total specified","Określono nieznaną kwotę"
"Numeric Attribute","Atrybut numeryczny"
weight,waga
"row weight","wiersz wagi"
quantity,ilość
"base price","cena bazowa"
"base cost","podstawowy koszt"
"Item %1 %2 %3:","Produkt %1 %2 %3:"
"Unknown attribute specified","Nieznane określenie cechy"
"Items Subselection","Produkty Podselekcji"
"Coupon Code","Kod kuponu"
"Shopping cart %1 a coupon applied","Zakupy koszyka %1 kupony zastosowane"
"Cart Line Items","Pozycje koszyka"
"Number of shopping cart line items %1 %2:","Liczba linii pozycji w koszyku %1 %2:"
"Item SKU %1 %2","Produkt SKU %1 %2"
"The item was added to shopping cart %1, store view %2.","Element został dodany do koszyka zakupowego %1, widok sklepu %2."
from,od
"not from","nie stąd"
"If an item is %1 in the shopping cart and %2 of these conditions match:","Jeśli produkt jest %1 w koszyku zakupowym i %2 jedne z tych warunków daje prawdę:"
"Items Quantity","Ilość produktów"
"Total shopping cart items quantity %1 %2:","Suma ilości koszyka zakupowego %1 %2:"
"Virtual Only","Tylko wirtualne"
"Shopping cart %1 only virtual items","koszyk %1 tylko wirtualne przedmioty"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","Lista życzeń nie jest pusta i została opuszczona %1 %2 dni i %3 tych warunków:"
"The root wish list condition should have a days value of 1 or greater.","Stan listy życzeń powinien mieć wartość dni 1 lub większą."
"Number of Items","Ilość produktów"
"Number of wish list items %1 %2","Liczba elementów listy życzeń %1 %2"
Sharing,Udostępnianie
"Wish List %1 shared","Lista życzeń %1 udostępniona"
is,jest
"is not","nie jest"
"The item was added to wish list %1, store view %2.","Produkt został dodany do listy życzeń %1, widok sklepu %2"
"If an item is %1 in the wish list and %2 of these conditions match:","Jeśli produkt jest %1 w liście życzeń i %2 jedne z tych warunków daje prawdę:"
"Condition type is unexpected","Typ warunku jest nieakceptowany"
"Please specify a valid number of minute.","Proszę wprowadzić prawidłową liczbę minut."
"Unable to save Cron expression","Nie można zapisać wyrażenia cron."
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Ważne</b>: Jeśli wybierzesz ""Używaj automatycznej generacji"", ta reguła nie będzie już używana w żadnej z reguł automatycznych e-maili przypominających dla porzuconych koszyków"
"Validate error 1","Błąd walidacji 1"
"Validate error 2","Błąd walidacji 2"
text,text
"Promotion reminder at %store_name","Promotion reminder at %store_name"
"Hurry up to take advantage of our %promotion_name promotion!","Pospiesz się, aby skorzystać z naszej promocji %promotion_name!"
"Hurry up to take advantage of this promotion!","Pospiesz się, aby skorzystać z tej promocji!"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","Aby skorzystać z promocji musisz zalogować się na <a href=""%account_url"">%store_name</a> i zastosować kupon ""%coupon_code"" w koszyku."
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>","Aby skorzystać z promocji musisz zalogować się na <a href=""%account_url"">%store_name</a>"
"This coupon can be used only up to %coupon_limit time(s) by you or other customers.","Ten kupon może służyć tylko do %coupon_limit przedziały czasu przez Ciebie lub innych klientów."
"You can use this coupon up to %coupon_limit time(s).","Możesz użyć tego kuponu do %coupon_limit razy."
"Promo Section","Sekcja promocji"
"Automated Email Reminder Rules","Edytuj zasady automatycznego przypominania"
"Enable Reminder Emails","Włącz przypomnienia e-mail"
Frequency,Częstotliwość
Interval,Interwał
"Set this value equal or greater to your Magento cron job launch period.","Ta wartość równa lub większa od twojego rozpoczęcia okresu Magento cron job."
"Minute of the Hour","Minuty, godziny"
"Valid range: 0-59 (default 0).","Prawidłowy zakres: 0-59 (domyślnie 0)."
"Maximum Emails per One Run","Maksymalna ilość e-maili na jednym uruchomieniu"
"Email Send Failure Threshold","Próg awarii wysyłania e-mail"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Upewnij się, że wartość graniczna jest wprowadzona. W innym wypadku e-maile przypominające będą ponownie wysyłane do klientów w pętli."
"Reminder Email Sender","Nadawca e-maili przypominających"
Nickname,Pseudonim
Review,Opinia
"Reward Points History","Punkty Zwrotne Historii"
"Expired reward","Wygasłe nagrody"
Unlimited,Nielimitowany
"No Data","Brak danych"
"Currency Amount",Wartość
"Reward Points Threshold","Punkty zwrotne progu"
"Reward Points Cap","Punkty zwrotne"
"Delete Orphan Points","Usuń porzucone punkty"
"Update Reward Points Balance","Aktualizacja nagrody punktów równowagi"
"Update Points","Aktualizuj Punkty"
"Enter a negative number to subtract from the balance.","Wprowadź liczbę ujemną, aby odjąć od salda."
"Reward Points Notifications","Nagroda punktów powiadomienia"
"Subscribe for Balance Updates","Zapisz się do bilansu aktualizacji"
"Subscribe for Points Expiration Notifications","Zapisz się do punktów ważności powiadomienia"
"Reward Exchange Rates","Kursy wymiany nagrody"
"Add New Rate","Dodaj nowy przelicznik"
"Edit Reward Exchange Rate","Edycja kursu wymiany nagrody"
"New Reward Exchange Rate","Nowy kurs wymiany nagrody"
"Reward Exchange Rate Information","Nagroda kurs wymiany informacji"
Direction,Kierunek
Rate,Stawka
"Use your reward points; %1 are available.","Wykorzystaj swoje punkty nagrody; %1 są dostępne."
"Learn more","Learn more"
"This applies only to registered users and may vary when a user is logged in.","To dotyczy tylko zarejestrowanych użytkowników i mogą się różnić, gdy użytkownik jest zalogowany."
"You removed the orphan points.","Usunięciu sierocych punktów."
"Manage Reward Exchange Rates","Zarządzanie Nagrodą wymiany walut"
"You deleted the rate.","Możesz usunąć regułę."
"You saved the rate.","Zapisałeś stawkę."
"We can't save this rate right now.","Obecnie nie możemy zapisać tej stawki."
"Please enter all rate information.","Proszę podać wszystkie informacje stawki."
"Please enter a positive integer number in the left rate field.","Wprowadź liczbę dodatnią liczbę całkowitą w polu po lewej."
"Please enter a positive number in the right-side rate field.","Proszę wprowadzić liczbę dodatnią w polu po prawej stronie."
"Please enter a positive integer number in the right-side rate field.","Wprowadź liczbę dodatnią całkowitą w polu po prawej stronie."
"Please enter a positive number in the left-side rate field.","Proszę wprowadzić liczbę dodatnią w polu po lewej stronie."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Przepraszamy, ale stawka dla tej samej strony, grupy klientów i kierunku lub stawka obejmująca już istnieje."
"You removed the reward points from this order.","Usunięte punkty nagrody z tego zamówienia."
"Reward points will not be used in this order.","Nagroda punktów nie zostanie użyta się w tym zamówieniu."
"You saved the settings.","Zapisano ustawienia."
"You unsubscribed.","Możesz się wypisać."
"You can't unsubscribed right now.","Nie możesz się teraz wypisać."
"%1 Reward points (%2)","%1 nagroda punktów (%2)"
"%1 Reward points","%1 - Punkty lojalnościowe"
"Updated by moderator","Zaktualizowane przez moderatora"
"Refunded from order #%1","Zwrócone od zamówienia #%1"
"Points voided at order #%1 refund.","Unieważnione zamówienia #%1 zwrot punktów."
"The invitation to %1 converted into a customer.","Zaproszenie do %1 prze konwertowana na odbiorcę."
"The invitation to %1 converted into an order.","Zaproszenie do %1 zamienione na zamówienie."
"Signed up for newsletter with email %1","Zapisano na newsletter z poczta elektroniczna %1"
"Redeemed for order #%1","Wykupiłem na zamówienie #%1"
"Earned points for order #%1","Zdobytych punktów przy zamówieniu #%1"
"Reverted from incomplete order #%1","Wróciła z niezrealizowanej części zamówienia #%1"
"Registered as customer","Zarejestrowany jako klient"
"For submitting a product review","Za zamieszczanie recenzji produktu"
"Earned promotion extra points from order #%1","Zarobiono promocyjne punkty za zamówienie #%1"
"%1 store reward points available (%2)","%1 punktów lojalnościowych sklepu dostępne (%2)"
"%1 store reward points available","%1 punktów lojalnościowych sklepu dostępne"
"%1 was deducted because of refund.","%1 zostało odliczonych z powodu zwrotu."
"The action ID you enter must be a number.","ID wprowadzonej akcji musi być liczbą."
"You don't have enough reward points to pay for this purchase.","Nie masz wystarczającej ilości punktów by zapłacić za ten zakup."
"Points to Currency","Punkty do waluty"
"Currency to Points","Waluta na punkty"
Static,Statyczny
Dynamic,Dynamiczny
Each,Każdy
First,Pierwszy
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimalny balans punktów lojalnościowych"" powinien być liczbą dodatnią lub pozostać pusty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Maksymalny balans punktów lojalnościowych"" powinien być liczbą dodatnią lub pozostać pusty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimalny balans punktów lojalnościowych"" powinien być mniejszy lub równy ""Maksymalnemu balansowi punktów lojalnościowych""."
"Customer earned promotion extra %1.","Klient zyskał w promocji dodatkowe %1."
"The customer earned %1 for this order.","Klient zyskał %1 za to zamówienie."
"Reward Points Balance","Nagroda punktów równowagi"
"upper boundary","górna granica"
"Refund Reward Points","Zwróć punkty lojalnościowe"
"Reward Points refunded to customer","Punkty lojalnościowe zwrócone klientowi"
Points,Punkty
Reason,Powód
"Expires on %1","Ważny do %1"
"There is no balance history.","Nie ma żadnej historii salda."
"Reward points balance Information","Informacje o saldzie punktów lojalnościowych"
"Your balance is %1.","Saldo jest %1."
"Current exchange rates:","Dostosowanie listy walut, ich kursów wymiany i metod płatności:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 wydane = %2 zyskane"
"Balance limit is %1.","Limitu salda jest %1."
"Maximum balance is reached","Maksymalne saldo zostanie osiągnięte"
"Minimum Balance in order to redeem: %1.","Saldo minimalne aby móc wymienić: %1."
"You need a higher balance to use your rewards points.","Potrzebujesz wyższego salda, by użyć swoich punktów lojalnościowych."
"Each earned reward points award expires in %1 days.","Każde zdobyte punkty lojalnościowe tracą ważność po %1 dniach."
"Refer to reward points history to see when a specific record expires.","Odnieś się do historii punktów lojalnościowych, by sprawdzić kiedy wygasa określony rekord."
"Email Notification Settings","Ustawienia powiadomień e-mail"
"Save Subscription Settings","Zapisz ustawienia subskrypcji"
"Reward Points Balance Updated at %store_name","Reward Points Balance Updated at %store_name"
"You have %points_balance points that may be used in our store:","Masz %points_balance punktów, które mogą być używane w naszym sklepie:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url""> rezygnacja</a> z powiadomień."
"Reward Points Expiry Warning at %store_name","Reward Points Expiry Warning at %store_name"
